Date,Regime_Label
2013-04-09,High
2013-04-16,Low
2013-04-23,Med
2013-04-30,High
2013-05-07,Low
2013-05-14,Med
2013-05-21,High
2013-05-29,Low
2013-06-05,Med
2013-06-12,High
2013-06-19,Low
2013-06-26,Med
2013-07-03,High
2013-07-11,Low
2013-07-18,Med
2013-07-25,High
2013-08-01,Low
2013-08-08,Med
2013-08-15,High
2013-08-22,Low
2013-08-29,Med
2013-09-06,High
2013-09-13,Low
2013-09-20,Med
2013-09-27,High
2013-10-04,Low
2013-10-11,Med
2013-10-18,High
2013-10-25,Low
2013-11-01,Med
2013-11-08,High
2013-11-15,Low
2013-11-22,Med
2013-12-02,High
2013-12-09,Low
2013-12-16,Med
2013-12-23,High
2013-12-31,Low
2014-01-08,Med
2014-01-15,High
2014-01-23,Low
2014-01-30,Med
2014-02-06,High
2014-02-13,Low
2014-02-21,Med
2014-02-28,High
2014-03-07,Low
2014-03-14,Med
2014-03-21,High
2014-03-28,Low
2014-04-04,Med
2014-04-11,High
2014-04-21,Low
2014-04-28,Med
2014-05-05,High
2014-05-12,Low
2014-05-19,Med
2014-05-27,High
2014-06-03,Low
2014-06-10,Med
2014-06-17,High
2014-06-24,Low
2014-07-01,Med
2014-07-09,High
2014-07-16,Low
2014-07-23,Med
2014-07-30,High
2014-08-06,Low
2014-08-13,Med
2014-08-20,High
2014-08-27,Low
2014-09-04,Med
2014-09-11,High
2014-09-18,Low
2014-09-25,Med
2014-10-02,High
2014-10-09,Low
2014-10-16,Med
2014-10-23,High
2014-10-30,Low
2014-11-06,Med
2014-11-13,High
2014-11-20,Low
2014-11-28,Med
2014-12-05,High
2014-12-12,Low
2014-12-19,Med
2014-12-29,High
2015-01-06,Low
2015-01-13,Med
2015-01-21,High
2015-01-28,Low
2015-02-04,Med
2015-02-11,High
2015-02-19,Low
2015-02-26,Med
2015-03-05,High
2015-03-12,Low
2015-03-19,Med
2015-03-26,High
2015-04-02,Low
2015-04-10,Med
2015-04-17,High
2015-04-24,Low
2015-05-01,Med
2015-05-08,High
2015-05-15,Low
2015-05-22,Med
2015-06-01,High
2015-06-08,Low
2015-06-15,Med
2015-06-22,High
2015-06-29,Low
2015-07-07,Med
2015-07-14,High
2015-07-21,Low
2015-07-28,Med
2015-08-04,High
2015-08-11,Low
2015-08-18,Med
2015-08-25,High
2015-09-01,Low
2015-09-09,Med
2015-09-16,High
2015-09-23,Low
2015-09-30,Med
2015-10-07,High
2015-10-14,Low
2015-10-21,Med
2015-10-28,High
2015-11-04,Low
2015-11-11,Med
2015-11-18,High
2015-11-25,Low
2015-12-03,Med
2015-12-10,High
2015-12-17,Low
2015-12-24,Med
2016-01-04,High
2016-01-11,Low
2016-01-19,Med
2016-01-26,High
2016-02-02,Low
2016-02-09,Med
2016-02-17,High
2016-02-24,Low
2016-03-02,Med
2016-03-09,High
2016-03-16,Low
2016-03-23,Med
2016-03-31,High
2016-04-07,Low
2016-04-14,Med
2016-04-21,High
2016-04-28,Low
2016-05-05,Med
2016-05-12,High
2016-05-19,Low
2016-05-26,Med
2016-06-03,High
2016-06-10,Low
2016-06-17,Med
2016-06-24,High
2016-07-01,Low
2016-07-11,Med
2016-07-18,High
2016-07-25,Low
2016-08-01,Med
2016-08-08,High
2016-08-15,Low
2016-08-22,Med
2016-08-29,High
2016-09-06,Low
2016-09-13,Med
2016-09-20,High
2016-09-27,Low
2016-10-04,Med
2016-10-12,High
2016-10-19,Low
2016-10-26,Med
2016-11-02,High
2016-11-09,Low
2016-11-17,Med
2016-11-25,High
2016-12-02,Low
2016-12-09,Med
2016-12-16,High
2016-12-23,Low
2017-01-03,Med
2017-01-10,High
2017-01-18,Low
2017-01-25,Med
2017-02-01,High
2017-02-08,Low
2017-02-15,Med
2017-02-23,High
2017-03-02,Low
2017-03-09,Med
2017-03-16,High
2017-03-23,Low
2017-03-30,Med
2017-04-06,High
2017-04-13,Low
2017-04-21,Med
2017-04-28,High
2017-05-05,Low
2017-05-12,Med
2017-05-19,High
2017-05-26,Low
2017-06-05,Med
2017-06-12,High
2017-06-19,Low
2017-06-26,Med
2017-07-03,High
2017-07-11,Low
2017-07-18,Med
2017-07-25,High
2017-08-01,Low
2017-08-08,Med
2017-08-15,High
2017-08-22,Low
2017-08-29,Med
2017-09-06,High
2017-09-13,Low
2017-09-20,Med
2017-09-27,High
2017-10-04,Low
2017-10-11,Med
2017-10-18,High
2017-10-25,Low
2017-11-01,Med
2017-11-08,High
2017-11-15,Low
2017-11-22,Med
2017-11-30,High
2017-12-07,Low
2017-12-14,Med
2017-12-21,High
2017-12-29,Low
2018-01-08,Med
2018-01-16,High
2018-01-23,Low
2018-02-01,Med
2018-02-08,High
2018-02-15,Low
2018-02-23,Med
2018-03-02,High
2018-03-09,Low
2018-03-16,Med
2018-03-23,High
2018-04-02,Low
2018-04-09,Med
2018-04-16,High
2018-04-23,Low
2018-04-30,Med
2018-05-07,High
2018-05-14,Low
2018-05-21,Med
2018-05-29,High
2018-06-05,Low
2018-06-12,Med
2018-06-19,High
2018-06-26,Low
2018-07-03,Med
2018-07-11,High
2018-07-18,Low
2018-07-25,Med
2018-08-01,High
2018-08-08,Low
2018-08-15,Med
2018-08-22,High
2018-08-29,Low
2018-09-06,Med
2018-09-13,High
2018-09-20,Low
2018-09-27,Med
2018-10-04,High
2018-10-11,Low
2018-10-18,Med
2018-10-25,High
2018-11-01,Low
2018-11-08,Med
2018-11-15,High
2018-11-23,Low
2018-11-30,Med
2018-12-10,High
2018-12-17,Low
2018-12-24,Med
2019-01-02,High
2019-01-09,Low
2019-01-16,Med
2019-01-24,High
2019-01-31,Low
2019-02-07,Med
2019-02-14,High
2019-02-22,Low
2019-03-01,Med
2019-03-08,High
2019-03-15,Low
2019-03-22,Med
2019-03-29,High
2019-04-05,Low
2019-04-12,Med
2019-04-22,High
2019-04-29,Low
2019-05-06,Med
2019-05-13,High
2019-05-20,Low
2019-05-28,Med
2019-06-04,High
2019-06-11,Low
2019-06-18,Med
2019-06-25,High
2019-07-02,Low
2019-07-10,Med
2019-07-17,High
2019-07-24,Low
2019-07-31,Med
2019-08-07,High
2019-08-14,Low
2019-08-21,Med
2019-08-28,High
2019-09-05,Low
2019-09-12,Med
2019-09-19,High
2019-09-26,Low
2019-10-03,Low
2019-10-10,High
2019-10-17,Med
2019-10-24,Low
2019-10-31,High
2019-11-07,Med
2019-11-14,Low
2019-11-21,High
2019-11-29,Med
2019-12-06,Low
2019-12-13,High
2019-12-20,Med
2019-12-30,Low
2020-01-07,High
2020-01-14,Med
2020-01-22,Med
2020-01-29,High
2020-02-05,Low
2020-02-12,Med
2020-02-20,High
2020-02-27,Low
2020-03-05,Med
2020-03-12,High
2020-03-19,Low
2020-03-26,Med
2020-04-02,High
2020-04-09,Low
2020-04-17,Med
2020-04-28,High
2020-05-05,Low
2020-05-12,Med
2020-05-19,High
2020-05-27,Low
2020-06-03,Med
2020-06-10,High
2020-06-17,Low
2020-06-24,Med
2020-07-01,High
2020-07-09,Low
2020-07-16,Med
2020-07-23,High
2020-07-30,Low
2020-08-06,Med
2020-08-13,High
2020-08-20,Low
2020-08-27,Med
2020-09-03,High
2020-09-11,Low
2020-09-18,Med
2020-09-25,High
2020-10-02,Low
2020-10-09,Med
2020-10-16,High
2020-10-23,Low
2020-10-30,Med
2020-11-06,High
2020-11-13,Low
2020-11-20,Med
2020-11-30,High
2020-12-07,Low
2020-12-14,Med
2020-12-21,High
2020-12-29,Low
2021-01-06,Med
2021-01-13,High
2021-01-21,Low
2021-01-28,High
2021-02-04,High
2021-02-11,Low
2021-02-19,High
2021-02-26,High
2021-03-05,Low
2021-03-12,High
2021-03-19,High
2021-03-26,Low
2021-04-05,High
2021-04-12,High
2021-04-19,Low
2021-04-26,High
2021-05-03,High
2021-05-10,Low
2021-05-17,High
2021-05-24,High
2021-06-01,Low
2021-06-08,High
2021-06-15,High
2021-06-22,Low
2021-06-29,High
2021-07-07,High
2021-07-14,Low
2021-07-21,High
2021-07-28,High
2021-08-04,Low
2021-08-11,High
2021-08-18,High
2021-08-25,Low
2021-09-01,High
2021-09-09,High
2021-09-16,Low
2021-09-23,High
2021-09-30,High
2021-10-07,Low
2021-10-14,Med
2021-10-21,High
2021-10-28,Low
2021-11-04,High
2021-11-11,High
2021-11-18,Low
2021-11-26,Med
2021-12-03,High
2021-12-10,Low
2021-12-17,Med
2021-12-27,High
2022-01-03,Low
2022-01-10,Med
2022-01-18,High
2022-01-25,Low
2022-02-01,Med
2022-02-08,High
2022-02-15,Low
2022-02-23,Med
2022-03-02,High
2022-03-09,Low
2022-03-16,Med
2022-03-23,High
2022-03-30,Low
2022-04-06,Med
2022-04-13,High
2022-04-21,Low
2022-04-28,High
2022-05-05,High
2022-05-12,Low
2022-05-19,Med
2022-05-26,High
2022-06-03,Low
2022-06-10,High
2022-06-17,High
2022-06-27,Low
2022-07-05,High
2022-07-12,High
2022-07-19,Low
2022-07-26,High
2022-08-02,High
2022-08-09,Low
2022-08-16,High
2022-08-23,High
2022-08-30,Low
2022-09-07,High
2022-09-14,High
2022-09-21,Low
2022-09-28,High
2022-10-05,High
2022-10-12,Low
2022-10-19,High
2022-10-26,High
2022-11-02,Low
2022-11-09,Med
2022-11-16,High
2022-11-23,Low
2022-12-01,Med
2022-12-08,High
2022-12-15,Low
2022-12-22,Med
2022-12-30,High
2023-01-09,Low
2023-01-17,Med
2023-01-24,High
2023-01-31,Low
2023-02-07,Med
2023-02-14,High
2023-02-22,Low
2023-03-01,Med
2023-03-08,High
2023-03-15,Low
2023-03-22,Med
2023-03-29,High
2023-04-05,Low
2023-04-13,Med
2023-04-20,High
2023-04-27,Low
2023-05-04,Med
2023-05-11,High
2023-05-18,Low
2023-05-25,Med
2023-06-02,High
2023-06-09,Low
2023-06-16,Med
2023-06-26,High
2023-07-03,Low
2023-07-11,Med
2023-07-18,High
2023-07-25,Low
2023-08-01,Med
2023-08-08,High
2023-08-15,Low
2023-08-22,Med
2023-08-29,High
2023-09-06,Low
2023-09-13,Med
2023-09-20,High
2023-09-27,Low
2023-10-04,Med
2023-10-11,High
2023-10-18,Low
2023-10-25,Med
2023-11-01,High
2023-11-08,Low
2023-11-15,Med
2023-11-22,High
2023-11-30,Low
2023-12-07,Med
2023-12-14,High
2023-12-21,Low
2023-12-29,Med
2024-01-08,High
2024-01-16,Low
2024-01-23,Med
2024-01-30,High
2024-02-06,Low
2024-02-13,Med
2024-02-21,High
2024-02-28,Low
2024-03-06,Med
2024-03-13,High
2024-03-20,Low
2024-03-27,Med
2024-04-04,High
2024-04-11,Low
2024-04-18,Med
2024-04-25,High
2024-05-02,Low
2024-05-09,Med
2024-05-16,High
2024-05-23,Low
2024-05-31,Med
2024-06-07,High
2024-06-14,Low
2024-06-24,Med
2024-07-01,High
2024-07-09,Low
2024-07-16,Med
2024-07-23,High
2024-07-30,Low
2024-08-06,Med
2024-08-13,High
2024-08-20,Low
2024-08-27,Med
2024-09-04,High
2024-09-11,Low
2024-09-18,Med
2024-09-25,High
2024-10-02,Low
2024-10-09,Med
2024-10-16,High
2024-10-23,Low
2024-10-30,Med
2024-11-06,High
2024-11-13,Low
2024-11-20,Med
2024-11-27,High
2024-12-05,Low
2024-12-12,Med
2024-12-19,High
2024-12-27,Low
2025-01-06,Med
2025-01-14,High
2025-01-22,Low
2025-01-29,Med
2025-02-05,High
2025-02-12,Low
2025-02-20,Med
2025-02-27,High
2025-03-06,Low
2025-03-13,Med
2025-03-20,High
2025-03-27,Low
2025-04-03,Med
2025-04-10,High
2025-04-17,Low
2025-04-25,Med
2025-05-02,High
2025-05-09,Low
2025-05-16,Med
2025-05-23,High
2025-06-02,Low
2025-06-09,Med
2025-06-16,High
2025-06-24,Low
